repo,source_paper_title,doi,language,packaged,install_decay_outcome,reason
4DModeller/fdmr,4DModeller: a spatio-temporal modelling package,10.21105/joss.07047,r,yes,install-decay (fails),R_install_failed
ADSCIAN/ssalib,SSALib: a Python Library for Time Series Decomposition using Singular Spectrum Analysis,10.21105/joss.08600,python,yes,install-decay (fails),pip_requirements_failed
AgatheSenellart/MultiVae,MultiVae: A Python package for Multimodal Variational Autoencoders on Partial Datasets.,10.21105/joss.07996,python,yes,install-decay (fails),pip_install_failed
AlexPof/opycleid,Opycleid: A Python package for transformational music theory,10.21105/joss.00981,python,yes,installs,example_exit_1
AlidesChimin/SATA,ATAS - Academic Text Analysis System,10.21105/joss.08599,python,yes,install-decay (fails),pip_requirements_failed
Ayuei/DeBEIR,DeBEIR: A Python Package for Dense Bi-Encoder Information Retrieval,10.21105/joss.05017,python,yes,install-decay (fails),pip_requirements_failed
Blue-Matter/RPC,Reference Point Calculator (RPC): A Shiny app for exploration of limit reference points for fisheries management,10.21105/joss.05418,r,yes,install-decay (fails),R_install_failed
C4dynamics/C4dynamics,C4DYNAMICS: The Python framework for state-space modeling and algorithm development,10.21105/joss.08776,python,yes,installs,example_exit_1
Cosmoglobe/zodipy,ZodiPy: A Python package for zodiacal light simulations,10.21105/joss.06648,python,yes,install-decay (fails),pip_requirements_failed
CountESS-Project/fqfa,fqfa: A pure Python package for genomic sequence files,10.21105/joss.02076,python,yes,installs,imports_only
DOE-NCI-MOSSAIC/FrESCO,FrESCO: Framework for Exploring Scalable Computational Oncology,10.21105/joss.05345,python,yes,install-decay (fails),pip_install_failed
DTUComputeStatisticsAndDataAnalysis/MBPLS,Multiblock PLS: Block dependent prediction modeling for Python,10.21105/joss.01190,python,yes,installs,imports_only
DahyannAraya/copernicus-seasonal-forecast-tools,Copernicus Seasonal Forecast Tools Package: Bridging Seasonal Climate Predictions and Impact Models for Operational Risk Assessment,10.21105/joss.08827,python,yes,installs,example_exit_1
GESS-research-group/pyshbundle,PySHbundle: A Python tool for processing GRACE gravimetry data into global surface mass change datasets,10.21105/joss.07550,python,yes,installs,example_exit_1
Hegghammer/daiR,daiR: an R package for OCR with Google Document AI,10.21105/joss.03538,r,yes,installs,example_exit_1
IBT-FMI/COSplay,COSplay: Contrast Optimized Stimulation Player,10.21105/joss.01171,python,yes,installs,imports_only
IslasGECI/nerd,NERD: Numerical Estimation of Rodenticide Density,10.21105/joss.06736,python,yes,install-decay (fails),pip_install_failed
LLNL/SSAPy,SSAPy - Space Situational Awareness for Python,10.21105/joss.08147,python,yes,installs,example_exit_1
LTLA/basilisk,basilisk: a Bioconductor package for managing Python environments,10.21105/joss.04742,python,yes,inconclusive (timeout/error),"command failed (exit 1): ['/usr/local/bin/docker', 'run', '-d', '--platform', 'l"
MIT-PSFC/disruption-py,DisruptionPy: An open-source physics-based scientific framework for disruption analysis of fusion plasmas,10.21105/joss.09364,python,yes,install-decay (fails),pip_install_failed
Materials-Consortia/optimade-python-tools,optimade-python-tools: a Python library for serving and consuming materials data via OPTIMADE APIs,10.21105/joss.03458,python,yes,installs,imports_only
MichielsenM/FOAM,Foam: A Python package for forward asteroseismic modelling of gravity modes,10.21105/joss.05884,python,yes,install-decay (fails),pip_install_failed
MikeSWang/Triumvirate,Triumvirate: A Python/C++ package for three-point clustering measurements,10.21105/joss.05571,python,yes,install-decay (fails),pip_install_failed
MillionConcepts/pdr,PDR: The Planetary Data Reader,10.21105/joss.07256,python,yes,installs,example_exit_1
Narayana-Rao/SAR-tools,PolSAR tools: A QGIS plugin for generating SAR descriptors,10.21105/joss.02970,python,no,N/A (not a package),no_install_manifest
PGijsbers/GAMA,GAMA: Genetic Automated Machine learning Assistant,10.21105/joss.01132,python,yes,install-decay (fails),pip_install_failed
PhanstielLab/bedtoolsr,Bedtoolsr: An R package for genomic data analysis and manipulation,10.21105/joss.01742,r,yes,installs,ran_ok
PhanstielLab/coralp,CoralP: Flexible visualization of the human phosphatome,10.21105/joss.01837,r,yes,install-decay (fails),R_install_failed
PyEllips/pyElli,pyElli: An open source ellipsometry analysis tool for FAIR data,10.21105/joss.08503,python,yes,installs,example_exit_1
RadioAstronomySoftwareGroup/pyradiosky,pyradiosky: A Python package for Radio Sky Models,10.21105/joss.06503,python,yes,installs,example_exit_1
SHF-NAILResearchGroup/HINA,HINA: A Learning Analytics Tool for Heterogenous Interaction Network Analysis in Python,10.21105/joss.08299,python,yes,installs,imports_only
SMRuggiero/sbmltoodepy,SBMLtoODEpy: A software program for converting SBML models into ODE models in Python,10.21105/joss.01643,python,yes,installs,example_exit_1
SMTG-UCL/surfaxe,Surfaxe: Systematic surface calculations,10.21105/joss.03171,python,yes,installs,ran_ok
SWIFTSIM/SOAP,SOAP: A Python Package for Calculating the Properties of Galaxies and Halos Formed in Cosmological Simulations,10.21105/joss.08252,python,yes,installs,example_exit_1
Santiso-Group/despasito,DESPASITO: A Python Package for SAFT EOS Parametrization and Thermodynamic Calculations,10.21105/joss.07365,python,yes,install-decay (fails),pip_install_failed
ScionResearch/genomesizeR,genomesizeR: An R package for genome size prediction,10.21105/joss.08759,r,yes,install-decay (fails),R_install_failed
TDAmeritrade/stumpy,STUMPY: A Powerful and Scalable Python Library for Time Series Data Mining,10.21105/joss.01504,python,yes,installs,example_exit_1
ThibaultFillion/strengths,"STReNGTHS, a Python package to model and simulate complex reaction-diffusion systems",10.21105/joss.06495,python,yes,installs,example_exit_1
TomasBeuzen/pybeach,pybeach: A Python package for extracting the location of dune toes on beach profile transects,10.21105/joss.01890,python,yes,inconclusive (timeout/error),"command failed (exit 124): ['/usr/local/bin/docker', 'run', '-d', '--platform', "
ToyotaCRDL/mahos,MAHOS: Measurement Automation Handling and Orchestration System,10.21105/joss.05938,python,yes,install-decay (fails),pip_install_failed
Turlure-Nael-23018992/SkyRank,"SkyRank: a unified toolkit for Skyline ranking, benchmarking, and visualization",10.21105/joss.08834,python,yes,install-decay (fails),pip_install_failed
Yu-Group/simChef,simChef: High-quality data science simulations in R,10.21105/joss.06156,r,yes,installs,ran_ok
aglucaci/Analysis-of-Orthologous-Collections,AOC: A Snakemake workflow for the characterization of natural selection in protein-coding genes,10.21105/joss.09872,python,no,N/A (not a package),no_install_manifest
aiidateam/kiwipy,"kiwiPy: Robust, high-volume, messaging for big-data and computational science workflows",10.21105/joss.02351,python,yes,installs,example_exit_1
akoyamp/geopolrisk-py,geopolrisk-py: A Python-Based Library to Operationalize the Geopolitical Supply Risk Method for use in Life Cycle Assessment and Comparative Risk Assessment,10.21105/joss.09600,python,yes,installs,example_exit_1
alan-turing-institute/autoemulate,AutoEmulate: A Python package for semi-automated emulation,10.21105/joss.07626,python,yes,install-decay (fails),pip_install_failed
