repo,source_paper_title,doi,stratum,language,packaged,install_decay_outcome,reason
ASaiM/framework,ASaiM: a Galaxy-based framework to analyze microbiota data.,10.1093/gigascience/giy057,genomics,python,no,N/A (not a package),no_install_manifest
AlexandrovLab/SigProfilerSimulator,Generating realistic null hypothesis of cancer mutational landscapes using SigProfilerSimulator.,10.1186/s12859-020-03772-3,bioinformatics-methods,python,yes,installs,example_exit_124
AllenInstitute/BarWare-pipeline,BarWare: efficient software tools for barcoded single-cell genomics.,10.1186/s12859-022-04620-2,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
AnacletoLAB/parSMURF,"parSMURF, a high-performance computing tool for the genome-wide detection of pathogenic variants.",10.1093/gigascience/giaa052,genomics,python,no,N/A (not a package),no_install_manifest
B-UMMI/LMAS,LMAS: evaluating metagenomic short de novo assembly methods through defined communities.,10.1093/gigascience/giac122,genomics,python,no,N/A (not a package),no_install_manifest
BGI-Qingdao/SLR-superscaffolder,SLR-superscaffolder: a de novo scaffolding tool for synthetic long reads using a top-to-bottom scheme.,10.1186/s12859-021-04081-z,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
BGI-Qingdao/TGS-GapCloser,TGS-GapCloser: A fast and accurate gap closer for large genomes with low coverage of error-prone long reads.,10.1093/gigascience/giaa094,genomics,python,no,N/A (not a package),no_install_manifest
BIMIB-DISCo/J-Space.jl,J-SPACE: a Julia package for the simulation of spatial models of cancer evolution and of sequencing experiments.,10.1186/s12859-022-04779-8,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
BTheDragonMaster/pikachu,PIKAChU: a Python-based informatics kit for analysing chemical units.,10.1186/s13321-022-00616-5,cheminformatics,python,yes,installs,example_exit_1
BieseckerLab/SomatoSim,SomatoSim: precision simulation of somatic single nucleotide variants.,10.1186/s12859-021-04024-8,bioinformatics-methods,python,yes,install-decay (fails),pip_requirements_failed
BioGeneTools/GOTrapper,GOTrapper: a tool to navigate through branches of gene ontology hierarchy.,10.1186/s12859-018-2581-8,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
BioinfoUNIBA/REDItools2,HPC-REDItools: a novel HPC-aware tool for improved large scale RNA-editing analysis.,10.1186/s12859-020-03562-x,bioinformatics-methods,python,yes,install-decay (fails),pip_requirements_failed
Bishop-Laboratory/correlationAnalyzeR,Correlation AnalyzeR: functional predictions from gene co-expression correlations.,10.1186/s12859-021-04130-7,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
BoevaLab/CHIPIN,CHIPIN: ChIP-seq inter-sample normalization based on signal invariance across transcriptionally constant genes.,10.1186/s12859-021-04320-3,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
Boyle-Lab/SEMplMe,SEMplMe: a tool for integrating DNA methylation effects in transcription factor binding affinity predictions.,10.1186/s12859-022-04865-x,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
CBIGR/SUBATOMIC,SUBATOMIC: a SUbgraph BAsed mulTi-OMIcs clustering framework to analyze integrated multi-edge networks.,10.1186/s12859-022-04908-3,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
CSi-Studio/Aird-SDK,Aird: a computation-oriented mass spectrometry data format enables a higher compression ratio and less decoding time.,10.1186/s12859-021-04490-0,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
DataIntellSystLab/motif_prob,Fast and exact quantification of motif occurrences in biological sequences.,10.1186/s12859-021-04355-6,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
DatabaseGroup/DeSignate,DeSignate: detecting signature characters in gene sequence alignments for taxon diagnoses.,10.1186/s12859-020-3498-6,bioinformatics-methods,python,yes,installs,example_exit_1
Deyneko/RNAdeNoise,Modeling and cleaning RNA-seq data significantly improve detection of differentially expressed genes.,10.1186/s12859-022-05023-z,bioinformatics-methods,r,no,N/A (not a package),no_install_manifest
ElenaRojano/DomFun,Assigning protein function from domain-function associations using DomFun.,10.1186/s12859-022-04565-6,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
EpistasisLab/tpot,Embedding covariate adjustments in tree-based automated machine learning for biomedical big data analyses.,10.1186/s12859-020-03755-4,bioinformatics-methods,python,yes,install-decay (fails),pip_install_failed
FunctionalUrology/SpheroScan,SpheroScan: a user-friendly deep learning tool for spheroid image analysis.,10.1093/gigascience/giad082,genomics,python,yes,install-decay (fails),pip_requirements_failed
GIST-CSBL/DeSIDE-DDI,DeSIDE-DDI: interpretable prediction of drug-drug interactions using drug-induced gene expressions.,10.1186/s13321-022-00589-5,cheminformatics,python,no,N/A (not a package),no_install_manifest
GIST-CSBL/HoTS,Sequence-based prediction of protein binding regions and drug-target interactions.,10.1186/s13321-022-00584-w,cheminformatics,python,yes,install-decay (fails),conda_env_failed
GaoLabXDU/CeNetOmnibus,CeNet Omnibus: an R/Shiny application to the construction and analysis of competing endogenous RNA network.,10.1186/s12859-021-04012-y,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
GonghuaLi/FastMM,FastMM: an efficient toolbox for personalized constraint-based metabolic modeling.,10.1186/s12859-020-3410-4,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
Greco-Lab/CpGmotifs,CpGmotifs: a tool to discover DNA motifs associated to CpG methylation events.,10.1186/s12859-021-04191-8,bioinformatics-methods,r,no,N/A (not a package),no_install_manifest
Guannan-Wang/GOMCL,"GOMCL: a toolkit to cluster, evaluate, and extract non-redundant associations of Gene Ontology-based functions.",10.1186/s12859-020-3447-4,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
GuoliangLi-HZAU/BatMeth2,An integrated package for bisulfite DNA methylation data analysis with Indel-sensitive mapping.,10.1186/s12859-018-2593-4,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
